country,Country_code,unit,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01
Bulgaria,BGR,Thousand tonnes,,1383,1044,914,938,,,,461,461,461,348,348,348,304,304,304,312,312,312
Bulgaria,BGR,Thousand tonnes,,1400,1047,914,952,,,,466,466,466,349,349,349,304,304,304,317,317,317
Bulgaria,BGR,Thousand tonnes,,1436,1054,966,990,,,,478,478,478,351,351,351,322,322,322,330,330,330
Bulgaria,BGR,Thousand tonnes,,814,1404,632,675,,,,271,271,271,468,468,468,210,210,210,225,225,225
Bulgaria,BGR,Thousand tonnes,,713,1363,567,642,,,,237,237,237,454,454,454,189,189,189,214,214,214
Bulgaria,BGR,Thousand tonnes,,814,1404,632,675,,,,271,271,271,468,468,468,210,210,210,225,225,225
Bulgaria,BGR,Thousand tonnes,,798,1402,632,660,,,,266,266,266,467,467,467,210,210,210,220,220,220
Bulgaria,BGR,Thousand tonnes,,761,1395,579,622,,,,253,253,253,465,465,465,193,193,193,207,207,207
Bulgaria,BGR,Thousand tonnes,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,Thousand tonnes,,1048,1042,1043,1015,,,,349,349,349,347,347,347,347,347,347,338,338,338
Bulgaria,BGR,Thousand tonnes,,0,,,0,,,,0,0,0,,,,,,,0,0,0
Bulgaria,BGR,Thousand tonnes,,836,853,878,890,,,,278,278,278,284,284,284,292,292,292,296,296,296
Bulgaria,BGR,Thousand tonnes,,864,876,914,903,,,,288,288,288,292,292,292,304,304,304,301,301,301
Bulgaria,BGR,Thousand tonnes,,837,853,878,890,,,,279,279,279,284,284,284,292,292,292,296,296,296
Bulgaria,BGR,Thousand tonnes,,844,856,881,893,,,,281,281,281,285,285,285,293,293,293,297,297,297
Bulgaria,BGR,Thousand tonnes,,888,887,881,923,,,,296,296,296,295,295,295,293,293,293,307,307,307
Bulgaria,BGR,Thousand tonnes,,212,189,165,124,,,,70,70,70,63,63,63,55,55,55,41,41,41
Bulgaria,BGR,Thousand tonnes,,184,166,129,111,,,,61,61,61,55,55,55,43,43,43,37,37,37
Bulgaria,BGR,Thousand tonnes,,211,189,165,124,,,,70,70,70,63,63,63,55,55,55,41,41,41
Bulgaria,BGR,Thousand tonnes,,203,186,162,121,,,,67,67,67,62,62,62,54,54,54,40,40,40
Bulgaria,BGR,Thousand tonnes,,159,154,162,91,,,,53,53,53,51,51,51,54,54,54,30,30,30
Bulgaria,BGR,Thousand tonnes,,,,,1,,,,,,,,,,,,,0,0,0
Bulgaria,BGR,Thousand tonnes,,4933,5188,4401,4514,,,,1644,1644,1644,1729,1729,1729,1467,1467,1467,1504,1504,1504
Bulgaria,BGR,Thousand tonnes,,6,10,12,23,,,,2,2,2,3,3,3,4,4,4,7,7,7
Bulgaria,BGR,Thousand tonnes,,4393,4014,3872,3750,,,,1464,1464,1464,1338,1338,1338,1290,1290,1290,1250,1250,1250
