Label,Country,Country_code,unit,tra_meas,airline,rep_airp_per_time,2020M04,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01
Direct transit passengers,Croatia,HRV,PAS,PAS_TRS,LIC_EU,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Transfer passengers,Croatia,HRV,PAS,PAS_TRF,UNK,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Transfer passengers,Croatia,HRV,PAS,PAS_TRF,TOTAL,HR_LDZA,N/A,9373,16583,16691,17529,21846,23995,30470,36116,35911,29276,24669,21446,22321,16987,17923
Passengers carried,Croatia,HRV,PAS,PAS_CRD,UNK,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Passengers carried,Croatia,HRV,PAS,PAS_CRD,TOTAL,HR_LDZA,N/A,95716,183242,201277,230125,244346,328891,347811,374036,363936,332955,309377,279230,230671,179463,189136
Passengers carried,Croatia,HRV,PAS,PAS_CRD,LIC_NEU,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Passengers carried,Croatia,HRV,PAS,PAS_CRD,LIC_EU,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Croatia,HRV,MOVE,CACM,UNK,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Croatia,HRV,MOVE,CACM,TOTAL,HR_LDZA,N/A,1919,2624,2805,2849,2953,3623,3739,4012,3913,3656,3758,3379,2833,2467,2749
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Croatia,HRV,MOVE,CACM,LIC_NEU,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Commercial aircraft movements (passenger, freight and mail, commercial general aviation operations)",Croatia,HRV,MOVE,CACM,LIC_EU,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Croatia,HRV,MOVE,ACM,UNK,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Croatia,HRV,MOVE,ACM,TOTAL,HR_LDZA,N/A,2213,2935,3076,3326,3302,4013,4157,4390,4319,4025,4231,3731,3293,2801,3018
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Croatia,HRV,MOVE,ACM,LIC_NEU,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Croatia,HRV,MOVE,ACM,LIC_EU,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freight and mail loaded and unloaded,Czechia,CZE,T,FRM_LD_NLD,UNK,CZ_LKPR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
